runtime,release_date,imdb_id,original_title,genres,vote_average,budget,cast,production_companies,release_year,revenue,director
124,6/9/2015,0369610,Jurassic World,Action|Adventure|Science Fiction|Thriller,6.5,150000000,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,"2015""",1513528810,Colin Trevorrow
120,5/13/2015,1392190,Mad Max: Fury Road,Action|Adventure|Science Fiction|Thriller,7.1,150000000,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,Village Roadshow Pictures|Kennedy Miller Productions,"2015""",378436354,George Miller
119,3/18/2015,"
tt2908446",Insurgent,Adventure|Science Fiction|Thriller,6.3,110000000,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2015,295238201,Robert Schwentke
137,4/1/2015,2488496,Star Wars: The Force Awakens,Action|Crime|Thriller,7.3,200000000,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2015,2068178225,geance Hits Home
136,12/15/2015,1663202,The Revenant,Action|Adventure|Science Fiction|Fantasy,7.5,135000000,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Lucasfilm|Truenorth Productions|Bad Robot,"2015""",532950503,AlejandroJ.J. Abrams
156,12/25/2015,"
tt2820852",Furious 7,Western|Drama|Adventure|Thriller,7.2,190000000,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,"2015""",1506249360,James Wan
125,6/23/2015,1340138,Terminator Genisys,Science Fiction|Action|Thriller|Adventure,5.8,155000000,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Paramount Pictures|Skydance Productions,"2015"";;;;;;
",440603537,Alan Taylor
141,9/30/2015,3659388,The Martian,Drama|Adventure|Science Fiction,7.6,108000000,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeГѓВ±a,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,"2015""",595380321,Ridley Scott
91,6/17/2015,2293640,Minions,Family|Animation|Adventure|Comedy,6.5,74000000,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Universal Pictures|Illumination Entertainment,"2015""",1156730962,Kyle Balda|Pierre Coffin
94,6/9/2015,2096673,Inside Out,Comedy|Animation|Family,8.0,175000000,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,"2015""",853708609,Pete Docter
148,10/26/2015,2379713,Spectre,Action|Adventure|Crime,6.2,245000000,Daniel Craig|Christoph Waltz|LГѓВ©a Seydoux|Ralph Fiennes|Monica Bellucci,Columbia Pictures|Danjaq|B24,"2015""",880674609,Sam Mendes
124,2/4/2015,1617661,Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,5.2,176000003,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,"2015""",183987723,Lana Wachowski|Lilly Wachowski
108,1/21/2015,0470752,Ex Machina,Drama|Science Fiction,7.6,15000000,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,DNA Films|Universal Pictures International (UPI)|Film4,"2015""",36869414,Alex Garland
105,7/16/2015,"
tt2120120",Pixels,Action|Comedy|Science Fiction,5.8,88000000,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Columbia Pictures|Happy Madison Productions,2015,243637091,Chris Columbus
141,4/22/2015,2395427,Avengers: Age of Ultron,Action|Adventure|Science Fiction,7.4,280000000,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Marvel Studios|Prime Focus|Revolution Sun Studios,"2015""",1405035767,Joss Whedon
167,12/25/2015,"
tt3460252",The Hateful Eight,Crime|Drama|Mystery|Western,7.4,44000000,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiГѓВЎn Bichir,Double Feature Films|The Weinstein Company|FilmColony,2015,155760117,Quentin Tarantino
109,1/1/2015,2446042,Taken 3,Crime|Action|Thriller,6.1,48000000,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinГѓВ©+,"2015""",325771424,Olivier Megaton
115,7/14/2015,0478970,Ant-Man,Science Fiction|Action|Adventure,7.0,130000000,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Marvel Studios,"2015""",518602163,Peyton Reed
112,3/12/2015,1661199,Cinderella,Romance|Fantasy|Family|Drama,6.8,95000000,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,"2015""",542351353,Kenneth Branagh
136,11/18/2015,1951266,The Hunger Games: Mockingjay - Part 2,War|Adventure|Science Fiction,6.5,160000000,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,"2015""",650523427,Francis Lawrence
130,5/19/2015,1964418,Tomorrowland,Action|Family|Science Fiction|Adventure|Mystery,6.2,190000000,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Walt Disney Pictures|Babieka|A113,"2015""",209035668,Brad Bird
